can_id,is_extended,dlc,rx_count,frames_per_second,avg_period_ms,min_period_ms,max_period_ms,representative_payload,payload_changes,unique_payloads,dbc_message,transmitter,receivers,signals,dbc_cycle_ms,classification,evidence
0x184,no,8,65,1.000186,1000.074718,999.968052,1000.360012,460E000000000000,yes,16,ZV_01,Gateway|Gateway_PAG,ZR_High,ZV_01_CRC|ZV_01_BZ|ZV_FT_verriegeln|ZV_FT_entriegeln|ZV_BT_verriegeln|ZV_BT_entriegeln|ZV_HFS_verriegeln|ZV_HFS_entriegeln|ZV_HBFS_verriegeln|ZV_HBFS_entriegeln|ZV_zentral_safen|ZV_zentral_entsafen|ZV_Spg_Anklappen|ZV_Softtouch_betaetigt|ZV_LED_Steuerung|ZV_LED_Uebernahme|ZV_auf_FT|ZV_zu_FT|ZV_auf_BT|ZV_zu_BT|ZV_auf_Kessy|ZV_zu_Kessy|ZV_auf_Funk|ZV_zu_Funk|VIP_Sensor_betaetigt|VIP_Freigabe|ZV_zu_Zeitl_Nachverr|ZV_HSK_entriegeln|ZV_HSK_verriegeln|ZV_Verdeck_zu|ZV_Verdeck_auf|FH_FT_hoch|FH_FT_tief|FH_BT_hoch|FH_BT_tief|FH_HFS_hoch|FH_HFS_tief|FH_HBFS_hoch|FH_HBFS_tief|BCM_Spg_Synchron|BCM_BF_Spg_Absenkung|ZV_Signatur|ZV_entriegeln_Anf|ZV_auto_Ansteuerung,1000,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x18A,no,8,325,5.000931,200.013083,199.576139,200.456858,00002A15F00F0000,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x1A2,no,8,325,5.000931,200.013895,199.907064,200.113058,0108602430028001,yes,19,ESP_15,Gateway|Gateway_PAG,DDA|ZR_High,ESP_15_CRC|ESP_15_BZ|HMS_P_beibehalten_GE|HMS_Konsistenz_GE|HMS_Konsistenz_IPA|HMS_Konsistenz_STA|HMS_Konsistenz_MO|HMS_halten_nicht_verfuegbar|NL_PRIM_STP_01_Status|VMM_Warnblinken|VZM_Status|HMS_Notstopp_Status|HMS_parken_nicht_verfuegbar|HMS_Anforderung_GE|HMS_Systemstatus|HMS_Stillstand|HMS_aktives_System|HMS_Konsistenz_HVLM|HMS_Konsistenz_ACC|HMS_Fehlerstatus|ESP_Index_Haltemoment|ESP_Haltemoment,1000,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x1F1,no,8,129,1.984985,500.033813,499.724865,500.349998,000000E007400000,no,1,Kessy_11,Gateway|Gateway_PAG,BedienSG_hi|ZR_High,KY_IDG_in_Reichweite|KY_Auf_Taste|KY_HDF_Taste|KY_Panik_Taste|KY_Zu_Taste|KY_FT_Entriegelung_Autorisiert|KY_FT_Verriegelung_Autorisiert|KY_BT_Entriegelung_Autorisiert|KY_BT_Verriegelung_Autorisiert|KY_HFS_Entriegelung_Autorisiert|KY_HFS_Verriegelung_Autorisiert|KY_HBFS_Entriegelung_Autorisiert|KY_HBFS_Verriegelung_Autorisiert|KY_Front_Entr_Autorisiert|KY_Front_Verr_Autorisiert|KY_HD_Entriegelung_Autorisiert|KY_HD_Verriegelung_Autorisiert|KY_Bereich|KY_Position|KY_ZV_Signatur|Schluesselnr_Personalisierung|FFB_FDF_Taste|FFB_Joker_Taste|FFB_Park_Taste|FFB_Remotestart_Taste|FBS_Aktivierung_Pilot_Parken|KY_Schluessel_im_Fzg|KY_EasyClose_Abbruch|KY_EasyClose_Status|KY_HD_Auffahrt|KY_HD_Zufahrt|KY_LKL_1_Autorisierung|KY_LKL_2_Autorisierung,500,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x1F3,no,8,650,10.001863,100.001988,99.523067,100.528002,B70D1BFC819FFE02,yes,648,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x1F8,no,8,650,10.001863,100.002325,99.817991,100.265980,0000D009010F7DF4,yes,7,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x20F,no,8,1300,20.003725,50.003474,49.677849,50.357103,0000000000000074,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x2A0,no,8,489,7.524478,133.123404,19.586086,200.537920,EF0280CCC8070000,yes,47,BCM_02,Gateway|Gateway_PAG,BedienDisp_vo|BedienSG_hi|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,BCM_02_CRC|BCM_02_BZ|BCM2_Crashfall_erkannt|ZZH_Endlage_oben|ZZH_Endlage_unplausibel|ZZH_Endlage_unten|BCM2_Unterdr_Zuendungsmeldung|BCM2_SST_gedrueckt|BCM_Waehlhebel_P_Hinweis|BCM_ValetTaster_Fkts_LED|BCM2_KL15_Absch_FT|Heckwischer_Status|BCM2_P_verriegelt|FSH_LED|HSH_LED|Niveausensor_VL_verbaut|Niveausensor_HL_verbaut|FA_Hoehenwert_VL_01|FA_Hoehenwert_HL_01|BCM_Anf_Aussenwarnung|BCM_Aussenwarnung_Konfig|BCM2_Freigabe_Kofferr_Innenentr|BCM_RLU_Wakeup_Anforderung|Heckrollo_Privacy_aktiv|Heckrollo_Verfahrrichtung|BCM2_TrunkEntrapment_Warn|BCM2_Quittierung_Warnton_aktiv|BCM_Handbremse_Hinweis|Remote_Rollo_HBFS_hoch|Remote_Rollo_HBFS_tief|Remote_Rollo_HFS_hoch|Remote_Rollo_HFS_tief|BCM2_T_Deckel_Vorne,200,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x2C7,no,8,64,0.984799,1000.070682,999.773979,1000.383854,0000000000000000,no,1,ZV_03,Gateway|Gateway_PAG,BedienSG_hi|ZR_LIMU|ZR_MIB_TOP_ab_Gen3,ZV_TAG_verfahren|BCM_Spg_Heizen_Trigger|BCM2_ZV_Tasten_HMI_Anf|ZV_HD_Taste_zu|ZV_HD_Taste_auf|ZV_FD_Taste_auf,1000,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x30B,no,8,1299,19.988338,50.001798,49.157143,50.868034,100200002C000030,yes,16,Kombi_01,Gateway|Gateway_PAG,BedienSG_hi|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,KBI_ABS_Lampe|KBI_ESP_Lampe|KBI_BKL_Lampe|KBI_Airbag_Lampe|KBI_SILA_gueltig|KBI_Lenkung_Lampe|KBI_Vorglueh_System_Lampe|KBI_NV_in_Anzeige|Kombi_01_BZ|KBI_Anzeigestatus_ACC|KBI_Anzeigestatus_GRA|KBI_Tankwarnung|KBI_MFA_v_Einheit_01|KBI_im_Stellgliedtest|KBI_Anzeigefehler_LDW|KBI_Tankwarnung_ungueltig|KBI_Handbremse|KBI_V_Digital|KBI_PLA_in_Anzeige|KBI_Anzeigefehler_NV|KBI_Anzeigestatus_LIM|KBI_ARA_in_Anzeige|KBI_Taster_Lift|KBI_Taster_Fahrwerk|KBI_GRA_Hauptschalter|KBI_angez_Geschw|KBI_Einheit_Tacho|KBI_Konsistenz_ACC|KBI_Fehler_Anzeige_ACC|KBI_Anzeigefehler_SWA|KBI_Systemstatus,50,Ambiguous,"Some signals are drivetrain-related, but the message itself is not powertrain-specific"
0x32C,no,8,325,5.000931,199.997299,194.469929,205.552101,0033003A98240800,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x365,no,8,1300,20.003725,50.003531,49.518108,50.486088,4E310000003000FE,yes,16,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x36A,no,8,130,2.000373,500.010986,499.821186,500.135899,000019C82AD42F57,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x385,no,8,65,1.000186,1000.071764,999.737978,1000.477076,0000220200000000,no,1,Charisma_01,Gateway,OTA_FC|ZR_High,CHA_Ziel_FahrPr_AGA|CHA_Ziel_FahrPr_ESP|CHA_Ziel_FahrPr_Freilauf|CHA_Fahrer_Umschaltung|CHA_Fahrer_Umschaltung_BMA|CHA_Ziel_FahrPr_MO|CHA_Ziel_FahrPr_GE|CHA_Ziel_FahrPr_ALR|CHA_Ziel_FahrPr_MO_BZS|CHA_Ziel_FahrPr_DR|CHA_Ziel_FahrPr_VAQ|CHA_Ziel_FahrPr_AFS|CHA_Ziel_FahrPr_PreCrash|CHA_Ziel_FahrPr_EPS|CHA_Ziel_FahrPr_ACC|CHA_Ziel_FahrPr_SAK|CHA_Ziel_FahrPr_MO_StSt,1000,Ambiguous,DBC mapping lacks domain-specific evidence
0x386,no,8,65,1.000186,1000.069685,999.540091,1000.771999,0000032000023000,no,1,Charisma_03,Gateway|Gateway_PAG,OTA_FC|ZR_High,CHA_Eco_Charisma_LED|CHA_Fahrer_Umschaltung|CHA_EV_LED|CHA_Ziel_FahrPr_AMB|CHA_Ziel_FahrPr_IVB|CHA_Kombi_Texte|CHA_Ziel_FahrPr_KL|CHA_Ziel_FahrPr_HSP|CHA_Drehschalter_Istmodus|CHA_Ziel_FahrPr_RWB|CHA_Ziel_FahrPr_03_01|CHA_Ziel_FahrPr_03_02|CHA_Current_Mode|CHA_Charge_LED|CHA_Offroad_LED|CHA_Kombi_Texte_02,1000,Ambiguous,DBC mapping lacks domain-specific evidence
0x391,no,8,812,12.494635,80.004271,79.902887,80.118895,3F7E224700260020,yes,16,OBD_01,Gateway|Gateway_PAG,ZR_High|ZR_MIB_TOP_ab_Gen3,OBD_Calc_Load_Val|OBD_Eng_Cool_Temp|OBD_Abs_Throttle_Pos|OBD_Abs_Load_Val|OBD_Abs_Pedal_Pos|MO_Servicemodus|OBD_ClearMem_Inhibit|OBD_Sperrung_Kaltstart_Denom|MO_QBit_Aussen_Temp|OBD_Sperrung_IUMPR|OBD_Kaltstart_Denominator|OBD_Minimum_Trip|OBD_Driving_Cycle|OBD_Warm_Up_Cycle|OBD_Normed_Trip,500,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x392,no,8,812,12.494635,80.004306,79.293966,80.708027,4265FEFEFE00004D,yes,16,ESP_07,Gateway|Gateway_PAG,ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3,ESP_07_CRC|ESP_07_BZ|ESP_Allrad_Antrieb|ESP_Codierung_ADS|ESP_RTA_HL|ESP_RTA_HR|ESP_RTA_VR|OBD_Fehler_Radsensor_HL|OBD_Fehler_Radsensor_HR|OBD_Fehler_Radsensor_VL|OBD_Fehler_Radsensor_VR|ESP_Qualifizierung_Antriebsart|ESP_Offroad_Modus|ESP_MKB_ausloesbar|ESP_Stat_FallBack_eBKV|ESC_cAQP_Trigger|ESP_OBD_Status|ESP_Rollenmodus_Deaktivieren|ESP_nachtr_Stopp_Anf,1000,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x3A3,no,8,812,12.494635,80.005639,79.023838,80.703974,FEFEF4F9433FFEFE,no,1,,,,,,Ambiguous,CAN ID not present in A5.dbc
0x3B5,no,8,650,10.001863,99.995442,98.989010,100.960970,8776203B5DF32800,yes,7,Klima_11,Gateway|Gateway_PAG,OTA_FC|ZR_High,KL_Drehz_Anh|KL_Vorwarn_Komp_ein|KL_AC_Schalter|KL_Komp_Moment_alt|KL_Vorwarn_Zuheizer_ein|KL_Zustand|KL_Kompressorkupplung_linear|KL_Charisma_FahrPr|KL_Charisma_Status|KL_nachtr_Stopp_Anf|KL_T_Charge|KL_Last_Kompr|KL_Spannungs_Anf|KL_Thermomanagement|KL_StartStopp_Info|KL_Freilauf_Info|KL_Anf_KL|KL_el_Zuheizer_Stufe|KL_Ausstattung_Klima|KL_Variante_Standheizung,1000,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x3BE,no,8,650,10.001863,100.005986,99.520922,100.494146,C1149705C0000080,yes,16,Motor_14,Gateway|Gateway_PAG,BedienSG_hi|DDA|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,Motor_14_CRC|Motor_14_BZ|MO_StartStopp_Status|MO_StartStopp_Wiederstart|MO_StartStopp_Motorstopp|MO_Freig_Reku|MO_Kl_75|MO_Kl_50|MO_Gangposition|MO_StartStopp_Fahrerwunsch|MO_HYB_Fahrbereitschaft|MO_Ext_E_Fahrt_aktiv|MO_Fahrer_bremst|MO_QBit_Fahrer_bremst|MO_BLS|MO_Konsistenz_Bremsped|MO_KomFehler_ESP|MO_Klima_Eingr|MO_Aussp_Anlass|MO_Freig_Anlass|MO_Kuppl_schalter|MO_Interlock|MO_Motor_laeuft|MO_Kickdown|MO_QBit_KL_75|MO_EKlKomLeiRed|MO_Handshake_STH|MO_BKV_Unterdruckwarnung|MO_Freigabe_Segeln|MO_PTC_Status|MO_QBit_Gangposition|MO_Signalquelle_Gangposition|MO_Remotestart_Betrieb|MO_Remotestart_moeglich|MO_Text_Geschw_red|MO_FMAus_aktiv|MO_FMAus_Startvariante|MO_BMS_NV_Anf_stuetzen|MO_Zylinderabschaltung|MO_HYB_VM_aktiv|MO_StartVorauss_erfuellt,100,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x3C0,no,4,649,9.986475,100.007105,99.282980,100.697041,6B032300,yes,16,Klemmen_Status_01,Gateway|Gateway_PAG,BedienDisp_vo|BedienSG_hi|DDA|GurtMikrofon|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,Klemmen_Status_01_CRC|Klemmen_Status_01_BZ|RSt_Fahrerhinweise|ZAS_Kl_S|ZAS_Kl_15|ZAS_Kl_X|ZAS_Kl_50_Startanforderung|BCM_Remotestart_Betrieb|ZAS_Kl_Infotainment|BCM_Remotestart_KL15_Anf|BCM_Remotestart_MO_Start|KST_Warn_P1_ZST_def|KST_Warn_P2_ZST_def|KST_Fahrerhinweis_1|KST_Fahrerhinweis_2|BCM_Ausparken_Betrieb|KST_Fahrerhinweis_4|KST_Fahrerhinweis_5|KST_Fahrerhinweis_6,100,Ambiguous,DBC mapping lacks domain-specific evidence
0x3C7,no,8,812,12.494635,80.004303,79.909801,80.106020,0110080100418200,yes,2,Motor_26,Gateway|Gateway_PAG,ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,MO_Kuehlerluefter_MUX|MO_Kuehlerluefter_1|MO_Kuehlerluefter_2|MO_EFLEX_Lampe|MO_KJS_nicht_bereit|MO_ITM_Warnung_Pumpe|WIV_Anzeige_aktiv|WIV_Oelmin_Warn|WIV_Sensorfehler|WIV_Schieflage|WIV_Oelstand|MO_Zustand_HWP|OLEV_Systemstoerung|MO_Oelwarnung_max|WIV_Oelsystem_aktiv|WIV_nicht_betriebswarm|WIV_Ueberfuell_Warn|WIV_laufender_Motor|MO_E_Warnungen|MO_Text_Motorstart|MO_E_Texte|WIV_Oeldyn_avl|MO_Text_Partikelfil_Reg|OLEV_Oelstand_nicht_vorhanden|WIV_Oelmenge|MO_Systemlampe|MO_OBD2_Lampe|MO_Heissleuchte|MO_Partikel_Lampe|MO_RedFahrleistung_Lampe|WIV_Oelstand_nicht_vorhanden|WIV_nachfuellanzeige_ein|WIV_Ueberfuell_deaktiv|WIV_Unterfuell_Warn|MO_Tankdeckel_Lampe|MO_Text_Tankdeckelwarn|MO_Vorglueh_Lampe|WIV_Oeldr_Warn_Motor|MO_E_Mode,80,Possible P-CAN,Powertrain message/signal semantics observed; DBC transmitter is gateway or domain can be shared
0x3CE,no,8,650,10.001863,99.957632,98.989964,100.744963,0180003680008000,no,1,TSG_HFS_01,Gateway|Gateway_PAG,BedienSG_hi|DDA|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,HFS_Tuer_geoeffnet|HFS_verriegelt|HFS_gesafet|HFS_Heckrollotaster_betaetigt|HFS_Tuerschloss_defekt|HFS_Unlock_Taster|HFS_Lock_Taster|HFS_Sperrklinke|HFS_TAG_betaetigt|HFS_TIG_betaetigt|HFS_FH_S_HBFS_AutoHoch|HFS_FH_S_HBFS_AutoTief|HFS_FH_S_HBFS_ManHoch|HFS_FH_S_HBFS_ManTief|HFS_Tuer_Status|HFS_SAD_Schalter|HFS_FH_S_ManHoch|HFS_FH_S_AutoHoch|HFS_FH_S_ManTief|HFS_FH_S_AutoTief|HFS_FH_Oeffnung|HFS_FH_Bew_hoch|HFS_FH_Bew_tief|HFS_FH_Fang|HFS_FH_Block|HFS_FH_Thermo|HFS_UEKB_aktiviert|HFS_Tueroeffnen_Warnung|HFS_FH_normiert|ASW_Warnung_aktiv_HFS|HFS_Zuziehhilfe_aktiv|HFS_Seitenrollo_hoch|HFS_Seitenrollo_tief|HFS_Status_KiSi|SSR_HFS_Pos_Unten|HFS_Oben_Block_erw|HFS_Unten_Block_erw|MTHFS_M_Taste|MTHFS_Pos1|MTHFS_Pos2|MTHFS_Pos3|HFS_MRollo_Schalter|HFS_Lock_Taster_inv|HFS_Status_eTAG|HFS_Tuer_Status_QBit|HFS_TCR_Mode_aktiv,500,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x3CF,no,8,650,10.001863,99.987220,99.037170,100.942850,0180003580008001,no,1,TSG_HBFS_01,Gateway|Gateway_PAG,BedienSG_hi|DDA|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,HBFS_Tuer_geoeffnet|HBFS_verriegelt|HBFS_gesafet|HBFS_Heckrollotaster_betaetigt|HBFS_Tuerschloss_defekt|HBFS_Unlock_Taster|HBFS_Lock_Taster|HBFS_Sperrklinke|HBFS_TAG_betaetigt|HBFS_TIG_betaetigt|HBFS_FH_S_HFS_AutoHoch|HBFS_FH_S_HFS_AutoTief|HBFS_FH_S_HFS_ManHoch|HBFS_FH_S_HFS_ManTief|HBFS_Tuer_Status|HBFS_SAD_Schalter|HBFS_FH_S_ManHoch|HBFS_FH_S_AutoHoch|HBFS_FH_S_ManTief|HBFS_FH_S_AutoTief|HBFS_FH_Oeffnung|HBFS_FH_Bew_hoch|HBFS_FH_Bew_tief|HBFS_FH_Fang|HBFS_FH_Block|HBFS_FH_Thermo|HBFS_UEKB_aktiviert|HBFS_Tueroeffnen_Warnung|HBFS_FH_normiert|ASW_Warnung_aktiv_HBFS|HBFS_Zuziehhilfe_aktiv|HBFS_Seitenrollo_hoch|HBFS_Seitenrollo_tief|HBFS_Status_KiSi|SSR_HBFS_Pos_Unten|HBFS_Oben_Block_erw|HBFS_Unten_Block_erw|MTHBFS_M_Taste|MTHBFS_Pos1|MTHBFS_Pos2|MTHBFS_Pos3|HBFS_MRollo_Schalter|HBFS_Lock_Taster_inv|HBFS_Status_KiSi_inv|HBFS_Status_eTAG|HBFS_Tuer_Status_QBit|HBFS_TIG_betaetigt_schliessen,500,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
0x3D0,no,8,650,10.001863,99.957105,99.166155,100.870848,010004B380000000,no,1,TSG_FT_01,Gateway|Gateway_PAG,BedienDisp_vo|BedienSG_hi|DDA|OTA_FC|ZR_High|ZR_LIMU|ZR_MIB_TOP_ab_Gen3|ZR_Standard,FT_Tuer_geoeffnet|FT_verriegelt|FT_gesafet|FT_Schluesselschalter_auf|FT_Schluesselschalter_zu|FT_Unlock_Taster|FT_Lock_Taster|FT_Sperrklinke|FT_TAG_betaetigt|FT_TIG_betaetigt|FT_IRUE_Taste|FT_HD_Taste|FT_TD_Taste_Fehler|FT_TD_Taste|SSR_Temp_Freigabe|FT_Sp_Heizung_Anf|FT_HD_Taste_2|FT_TSG_hinten_verbaut|FT_Sp_Blk_def|FT_FH_S_ManHoch|FT_FH_S_AutoHoch|FT_FH_S_ManTief|FT_FH_S_AutoTief|FT_FH_Oeffnung|FT_FH_Bew_hoch|FT_FH_Bew_tief|FT_FH_Fang|FT_FH_Block|FT_FH_Thermo|FT_UEKB_aktiviert|ASW_HMI_defekt|FT_FH_normiert|FT_Schliesstaster|FT_Zuziehhilfe_aktiv|FT_SP_ausgerastet|FT_SP_lr_aktiv|FT_SP_ht_aktiv|ASW_wakeup|FT_Oben_Block_erw|FT_Unten_Block_erw|FT_Kisi_li_aktiv|FT_Kisi_re_aktiv|FT_Kisi_Taster_li|FT_Kisi_Taster_re|FT_BFS_Fond_Freigabe|FT_Kisi_Fehler|FT_Daemmglas|FT_SP_Heizung_Status|ASW_Warnung_aktiv_FS|FT_FH_Pos_oben|FT_Tuerschloss_defekt|FT_SWA_Taster|SWA_HMI_Diagnose|FS_Status_eTAG,100,Cross-Domain / Gateway Candidate,Body/comfort/infotainment semantics observed; gateway routing or domain sharing is possible
